# ePrasekolah "Carian Institusi" export, Kota Setar, pasted by the user (logged-in parent account) on 2026-09-21.
# columns: code|name|address|postcode|town|phone|vacancies   (all rows: Agensi Pelaksana = SWASTA; "-" vacancies = none listed)
K5A2138|TADIKA TASNEEM BESTARI ( C )|NO. C389, JALAN SEJAHTERA KASIH 3B, TAMAN BANDAR SEJAHTERA|06400|POKOK SENA|0195696560|60
K5A2124|TADIKA TASNEEM BESTARI (C)|NO.9B, SUSURAN MAS MERAH, TAMAN MAS MAJU, TITI GAJAH|06550|ALOR SETAR|019-4440218|16
K5A2015|TADIKA TASNEEM BESTARI (C)|NO.7 JALAN AMIRA 5, TAMAN AMIRA FASA 2, JALAN LANGGAR|06500|ALOR SETAR|0134404288|-
K5A2130|TADIKA TEACHER YANA|B-188 SEMI D, JALAN KETUMBAR 7/3, TAMAN SIMPANG PERDANA, SIMPANG EMPAT|06650|ALOR SETAR|011-26481713|64
K5A2928|TADIKA TERATAI PERMAI|B-12, JALAN INDERA PERMAI 1/1, TAMAN TERATAI PERMAI|05460|ALOR SETAR|01119100161|-
K5C2788|TADIKA TUNAS HARAPAN CEMERLANG|D3,TAMAN GUNUNG PERAK, LEBUHRAYA SULTANAH BAHIYAH|05400|ALOR SETAR|012-4439993|-
K5A2850|TADIKA TZU-CHI|NO.B7, TAMAN CEMARA, JALAN KILANG TEBU, ALOR SETAR, KEDAH.|05050|ALOR SETAR|017-4696266|47
K5A2793|TADIKA TZU-CHI (KEDAH)|BUDDHIST TZU-CHI MERITS SOCIETY MALAYSIA, 535 JALAN PERAK 22, KAWASAN PERINDUSTRIAN MERGONG 2, TAMAN|05150|ALOR SETAR|013-2447013|7
K5A2126|TADIKA ULFAH AQIL|NO. 1905 TINGKAT 2, JALAN STADIUM|05100|ALOR SETAR|011-36047427|150
K5A2136|TADIKA ULUL ALBAB|1587A TINGKAT 1, JALAN SULTAN BADLISHAH|05000|ALOR SETAR|012-4939096|13
K5A2004|TADIKA UMMI|4028 TAMAN RAKYAT, JALAN SULTANAH|05350|ALOR SETAR|04-7332144|-
K5A2018|TADIKA WARDAH DINAMIK|NO.15 TAMAN SERI SIMPANG JAYA, SIMPANG EMPAT|06650|ALOR SETAR|019-4919269|-
K5A2137|TADIKA WINKIDZ|NO. 3131 TAMAN RAKYAT, JALAN SULTANAH|05350|ALOR SETAR|013-4884183|-
K5A2022|TADIKA WIRA E-BESTARI|BLOK D DEWAN PERTUBUHAN KAUM INDIA, TAMAN WIRA MERGONG|05350|ALOR SETAR|0125958889|36
K5A0000|TADIKA XYZ|123, JLN IPOH|31400|KOTA SETAR|0972136485|-
K5A2638|TADIKA YAKIN CERIA|200 JALAN KETUMBAR 9, TAMAN SIMPANG JAYA, SIMPANG EMPAT ALOR SETAR|06650|ALOR SETAR|016-7789298|-
